ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,community_id,orig_mac_oui
1759309279.73457,Cqqoi82CUXxOurppU1,10.0.0.1,45321,8.8.8.8,53,udp,dns,0.005375862121582,47.0,239.0,SF,True,False,0,Dd,1,75,1,267,1:Rxk05x1i5hIb6BX+LTStFKFXbVA=,Dell Inc.
1759309877.877098,C1PchJBFNE1Z9eLY9,10.0.0.1,35267,8.8.8.8,53,udp,dns,0.0188748836517334,37.0,119.0,SF,True,False,0,Dd,1,65,1,147,1:YlqT1c0kekVcvzobpm/QYAsyzfQ=,Dell Inc.
1759309280.091435,CMWGpx2L4JfEUQOcSj,10.0.0.1,49846,8.8.8.8,53,udp,dns,0.0073840618133544,50.0,182.0,SF,True,False,0,Dd,1,78,1,210,1:HgHw0npXzP9STu7+cO0vuPsq5sE=,Dell Inc.
1759309879.73473,CasD273zpXEfNdGf4k,10.0.0.1,56270,8.8.8.8,53,udp,dns,0.0126218795776367,47.0,239.0,SF,True,False,0,Dd,1,75,1,267,1:JJHN6vfQRKrD9TNLk1RmM7ea8Y0=,Dell Inc.
1759309280.099976,CREnLKDGdzZwnBQMk,10.0.0.1,47477,8.8.8.8,53,udp,dns,5.998819828033447,72.0,227.0,SF,True,False,0,Dd,1,100,2,283,1:GTph5aM6KTtb7hE37geUusI26vk=,Dell Inc.
1759309879.749515,CQPDBe3TmIgbbyCfxl,10.0.0.1,51806,185.125.190.96,80,tcp,http,0.5838618278503418,88.0,185.0,SF,True,False,0,ShADfdtFraR,7,460,5,441,1:SbwOAbo04uNApdMxV+ni7xjjhYw=,Dell Inc.
1759309210.504023,Cii5XS322FOk9x3xIa,10.0.0.1,43226,13.107.213.73,443,tcp,ssl,90.11773300170898,3468.0,61103.0,SF,True,False,0,ShADadfF,34,5244,54,63919,1:OsZm9elVDyc/6ScdA80V7CrVLMk=,Dell Inc.
1759309823.126518,COWIN41TXQnHATWdnf,10.0.0.1,42549,239.255.255.250,1900,udp,,3.004117965698242,688.0,0.0,S0,True,False,0,D,4,800,0,0,1:rr8VobBc1Udd9jnwp6Ichb4UsY8=,Dell Inc.
1759309880.417149,CXHUb21SZVrWi1QxF4,10.0.0.1,56946,52.182.143.213,443,tcp,ssl,1.1459589004516602,10058.0,5157.0,SF,True,False,0,ShADdafF,17,10950,12,5789,1:6ASCa72TPjAYpJxztxkfGcY1HAM=,Dell Inc.
1759309880.110122,CXNO021oBeOtFtjXxk,10.0.0.1,47983,8.8.8.8,53,udp,dns,0.0052380561828613,50.0,173.0,SF,True,False,0,Dd,1,78,1,201,1:Ekih6Tho6jA7uqckQtzmOmsIiQs=,Dell Inc.
1759309256.880363,CkqmwO1oKJbA0JV7u8,10.0.0.1,53964,172.253.118.94,443,udp,"ssl,quic",0.1918699741363525,3296.0,6019.0,SF,True,False,0,Dd,10,3576,12,6355,1:euDv+WHnm33T50A2XuXEm7gy5ig=,Dell Inc.
1759307300.067441,CKhoRHnKrhagVYdY,10.0.0.1,46332,8.8.8.8,53,udp,dns,6.008079051971436,63.0,197.0,SF,True,False,0,Dd,1,91,2,253,1:r52BKqVi/IhIDffQ7+YPkhKJ4OU=,Dell Inc.
1759309352.169558,CbWgS8jhkfQUCHsVl,10.0.0.1,37367,8.8.8.8,53,udp,dns,0.0078339576721191,35.0,78.0,SF,True,False,0,Dd,1,63,1,106,1:L3vGKZ13wOkXnkDQ9ZQzEwtlm7U=,Dell Inc.
1759307273.027367,CS9BVh1tnhrVjAcev1,10.0.0.1,42424,74.125.24.94,443,udp,"ssl,quic",0.1483809947967529,4581.0,5890.0,SF,True,False,0,Dd,9,4833,14,6282,1:Os2bXQQ8bZ5PrUCOX9GJhT1nj1k=,Dell Inc.
1759309352.169559,CdKc4MJJlW6u89Fuf,10.0.0.1,35039,8.8.8.8,53,udp,dns,0.0078310966491699,35.0,62.0,SF,True,False,0,Dd,1,63,1,90,1:4n//J6gRIietSPpUT6nAG35AnvQ=,Dell Inc.
1759307360.06218,CRZpKp1P1BI6sQZCyb,10.0.0.1,51534,20.42.72.131,443,tcp,ssl,1.1052579879760742,10054.0,5156.0,SF,True,False,0,ShADdafF,17,10946,12,5788,1:WRROZQkgmb9Mqs1+D9KzF1Oobz0=,Dell Inc.
1759309372.983022,CsDoDe4qiwqNtj9pc9,10.0.0.1,47787,8.8.8.8,53,udp,dns,0.027250051498413,33.0,49.0,SF,True,False,0,Dd,1,61,1,77,1:bSzfMuZnrtqJ9xN2g54sWLFW9rQ=,Dell Inc.
