srcIP,dstIP,dstPort,timeList,dataList,durList,rare_port,ip_ioc,time_bskew,time_mad,time_acf,data_bskew,data_mad,data_acf,dur_bskew,dur_mad,dur_acf
192.168.28.1,239.255.255.250,35963.0,[1759788438.334],[804],[3001989126.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,36100.0,[1759778009.015],[804],[3002764940.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,36196.0,[1759789998.3430002],[804],[3003088951.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,36719.0,[1759797438.386],[804],[3002500772.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,36908.0,[1759786518.325],[804],[3002854109.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,37191.0,[1759778449.9740002],[804],[3002990961.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,37506.0,[1759795038.37],[804],[3003120899.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,37529.0,[1759793958.3630002],[804],[3003473997.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,37944.0,[1759790478.346],[804],[3003599167.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,38213.0,[1759796478.38],[804],[3001746893.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,38261.0,[1759791318.351],[804],[3002238989.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,38262.0,[1759790358.346],[804],[3002938032.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,38554.0,[1759779678.284],[804],[3003826141.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,38662.0,[1759783038.3100002],[804],[3001715183.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,38735.0,"[1759787238.329, 1759791198.3500001]","[804, 804]","[3003499031.0, 3001528025.0]",1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,39101.0,[1759782438.3049998],[804],[3003606081.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,39257.0,[1759795278.372],[804],[3002309799.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,39373.0,[1759789878.3430002],[804],[3003324986.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,39505.0,[1759795518.374],[804],[3002872944.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,39621.0,[1759788078.332],[804],[3002197981.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,39779.0,[1759786158.3219998],[804],[3002604961.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,39988.0,[1759792518.356],[804],[3002886057.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,40010.0,[1759798638.392],[804],[3001751900.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
