ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,trans_depth,method,host,uri,version,user_agent,request_body_len,response_body_len,status_code,status_msg,tags,resp_fuids,resp_mime_types,orig_fuids,orig_mime_types,referrer,origin,info_code,info_msg,resp_filenames
1759317518.778655,CuBXPz2oufZih5WxXl,10.0.0.2,53426,10.0.0.1,80,1,POST,10.0.0.1,/php/php/oauth/oauth/oauth2/oauth2/api.php?o=310845l31,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",171,0,202.0,Accepted,[],,,['FkEZOV2z27Xt6ZUQe3'],['text/plain'],,,,,
1759317437.464283,Cc5lFc1soWfc4uWi45,10.0.0.2,42324,10.0.0.1,80,2,GET,10.0.0.1,/scripts/javascript/array.js?m=76_058384,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",0,570,200.0,OK,[],['FnxG6412Qvsz4vjLxj'],['text/plain'],,,,,,,
1759313206.374318,CIvnuE4PEhhuD3dt1d,10.0.0.2,54712,10.0.0.1,80,1,POST,10.0.0.1,/database/oauth2/namespaces/oauth2/oauth2/db/oauth2callback/api.php?a=609172z04,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",171,0,202.0,Accepted,[],,,['FHIt5m4PZ3RWc8hUy3'],['text/plain'],,,,,
1759317518.784319,CuBXPz2oufZih5WxXl,10.0.0.2,53426,10.0.0.1,80,2,GET,10.0.0.1,/jscript/umd/email.js?o=24038266,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",0,115,200.0,OK,[],['FGzES33GmTrMyzbuI'],['text/plain'],,,,,,,
1759313285.979189,CmCecm4ROOun0NxcUb,10.0.0.2,48444,10.0.0.1,80,2,GET,10.0.0.1,/array.js?z=451357f19,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",0,622,200.0,OK,[],['Fyi6TK3EdYo4kXNCzh'],['text/plain'],,,,,,,
1759313285.977081,CmCecm4ROOun0NxcUb,10.0.0.2,48444,10.0.0.1,80,1,POST,10.0.0.1,/oauth2callback/namespaces/namespaces/oauth/database/oauth2callback/samples.php?n=807521g57,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",968,0,202.0,Accepted,[],,,['FCLJjCeCQMpQWqvYj'],['text/plain'],,,,,
1759312847.744606,CWUecTiw1ypw4Efu7,10.0.0.1,48898,192.168.131.20,8888,143,GET,192.168.131.20:8888,/api/contents?content=1&hash=0&1759312847736,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",0,5758,200.0,OK,[],['F1MAr32I6Kjx8Lg9Qg'],['text/json'],,,http://192.168.131.20:8888/notebooks/jupyter/rita-fake.ipynb,,,,
1759312850.208385,CWUecTiw1ypw4Efu7,10.0.0.1,48898,192.168.131.20,8888,145,GET,192.168.131.20:8888,/api/contents/jupyter/rita-fake.ipynb/checkpoints?1759312850198,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",0,70,200.0,OK,[],['F4lvA21mOmF0kxEQQ5'],['text/json'],,,http://192.168.131.20:8888/notebooks/jupyter/rita-fake.ipynb,,,,
1759312860.26199,Ce6RyE4KcZfWnrgNga,10.0.0.1,48880,192.168.131.20,8888,41,GET,192.168.131.20:8888,/api/contents/jupyter/rita-fake.ipynb/checkpoints?1759312860252,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",0,70,200.0,OK,[],['FkMmnx2WIMJIJJin1g'],['text/json'],,,http://192.168.131.20:8888/notebooks/jupyter/rita-fake.ipynb,,,,
1759312866.293911,CWUecTiw1ypw4Efu7,10.0.0.1,48898,192.168.131.20,8888,155,GET,192.168.131.20:8888,/api/contents/jupyter/rita-fake.ipynb/checkpoints?1759312866284,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",0,70,200.0,OK,[],['FaQ9POw9zzc77EHF'],['text/json'],,,http://192.168.131.20:8888/notebooks/jupyter/rita-fake.ipynb,,,,
