ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,version,cipher,curve,server_name,resumed,established,ssl_history,ja3,ja3s,ja4,community_id,cert_chain_fps,client_cert_chain_fps,sni_matches_cert,validation_status,next_protocol
1759302675.953097,C7G9Ee325DvfBY2uik,10.0.0.1,60848,52.76.90.69,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,lscr.io,False,True,CsiI,404a71f6df3c637a82112844643094cb,15af977ce25de452b96affa2addb1036,t13d111000_cafd58515627_e7c285222651,1:crX0+sXPGlSvveSRJsGmyKJi5lU=,,,,,
1759302682.066957,CP6WOl1KdJL1l8r8T4,10.0.0.1,45652,104.16.98.215,443,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,x25519,production.cloudflare.docker.com,False,True,CsxknGIi,404a71f6df3c637a82112844643094cb,6591f269f98467808709ab91e378a3ab,t13d111000_cafd58515627_e7c285222651,1:MeqMYbukhnK+qlo0XTNQTYh7mFI=,"['96b5053ea70be9ae4072d98459c9d33fbf76b03908a3d8ec9428e09929dd2c85', '83624fd338c8d9b023c18a67cb7a9c0519da43d11775b4c6cbdad45c3d997c52']",[],True,ok,
1759302862.270677,CDTHCL1dHXZ6t4nAl1,10.0.0.1,57946,104.18.32.47,443,TLSv13,TLS_AES_128_GCM_SHA256,unknown-4588,chatgpt.com,True,True,CsiI,42b58a4d4c78a88acaa54d7f22187888,2b0648ab686ee45e0e7c35fcfb0eea7e,t13d1517h2_8daaf6152771_b6f405a00624,1:5cFqCXuZjzmlSWIDTvv2qumKpNM=,,,,,
1759302679.745593,CM4tRr2gsojgfR8KHh,10.0.0.1,40198,54.156.120.203,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,auth.docker.io,False,True,CsiI,1a3153f314dc13e133dc71d113a81b16,f4febc55ea12b31ae17cfb7e614afda8,t13d1812h1_5d04281c6031_ef7df7f74e48,1:6gBkjcvZ2SaWsJZcv64Ju9ivT4A=,,,,,
1759302675.423626,CFVm1t2iLfb76ILkWl,10.0.0.1,46340,20.205.243.164,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,ghcr.io,False,True,CsiI,404a71f6df3c637a82112844643094cb,f4febc55ea12b31ae17cfb7e614afda8,t13d111000_cafd58515627_e7c285222651,1:yGR/SG7UMWnc8v+/D/5xe9mX8Dk=,,,,,
1759302676.478606,C5sT4c1IqTUdPukxQ1,10.0.0.1,59732,185.199.109.154,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,pkg-containers.githubusercontent.com,False,True,CsiI,404a71f6df3c637a82112844643094cb,f4febc55ea12b31ae17cfb7e614afda8,t13d111000_cafd58515627_e7c285222651,1:YcXvsad4wMTFDlAwZkhgnfb7eXM=,,,,,
1759302683.497227,CvNUTc452pQUxVEaPh,10.0.0.1,60328,52.55.190.199,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,registry-1.docker.io,False,True,CsiI,404a71f6df3c637a82112844643094cb,f4febc55ea12b31ae17cfb7e614afda8,t13d111000_cafd58515627_e7c285222651,1:nZfOXIHyeChA6lTEM+yriUkp+Dk=,,,,,
1759302828.217317,CHWmKEDIvdoPn6Yjf,10.0.0.1,33614,142.250.4.94,443,TLSv13,TLS_AES_128_GCM_SHA256,unknown-4588,ssl.gstatic.com,True,False,Cs,8bc40830d3cdca3de70974218ed342a7,2b0648ab686ee45e0e7c35fcfb0eea7e,q13d0313h3_55b375c5d22e_226f3f127bbe,,,,,,
1759302819.551133,CaUYi243l0MBQWGYua,10.0.0.1,34726,64.233.170.101,443,TLSv13,TLS_AES_128_GCM_SHA256,unknown-4588,clients4.google.com,True,False,Cs,942bff30504457fd69282b39e663ceb1,2b0648ab686ee45e0e7c35fcfb0eea7e,q13d0313h3_55b375c5d22e_226f3f127bbe,,,,,,
1759302798.400081,CSISnC31hdm3i4Hfa7,10.0.0.1,43664,64.233.170.136,443,TLSv13,TLS_AES_128_GCM_SHA256,unknown-4588,www.youtube.com,True,False,Cs,085b4d1139d31481d6e60febcf368f1e,2b0648ab686ee45e0e7c35fcfb0eea7e,q13d0313h3_55b375c5d22e_226f3f127bbe,,,,,,
